 1   !! number of vertical layers
 0   ! vertical depth of climatology
      JDAY  MM  DD   TEMP   SALT JDAY=0 FOR JAN 01
   319.0   11   15   13.43  33.20
   320.0   11   16   13.34  33.20
   321.0   11   17   13.27  33.20
   322.0   11   18   13.20  33.20
   323.0   11   19   13.13  33.20
   324.0   11   20   13.04  33.20
   325.0   11   21   12.97  33.20
   326.0   11   22   12.92  33.20
   327.0   11   23   12.87  33.20
   328.0   11   24   12.82  33.20
   329.0   11   25   12.79  33.20
   330.0   11   26   12.70  33.20
   331.0   11   27   12.64  33.20
   332.0   11   28   12.57  33.20
   333.0   11   29   12.50  33.20
   334.0   11   30   12.47  33.20
   335.0   12    1   12.36  33.20
   336.0   12    2   12.34  33.20
   337.0   12    3   12.26  33.20
   338.0   12    4   12.24  33.20
   339.0   12    5   12.18  33.20
   340.0   12    6   12.11  33.20
   341.0   12    7   12.05  33.20
   342.0   12    8   11.93  33.20
   343.0   12    9   11.86  33.20
   344.0   12   10   11.81  33.20
   345.0   12   11   11.77  33.20
   346.0   12   12   11.73  33.20
   347.0   12   13   11.70  33.20
   348.0   12   14   11.69  33.20
   349.0   12   15   11.66  33.20
   350.0   12   16   11.61  33.20
   351.0   12   17   11.59  33.20
   352.0   12   18   11.55  33.20
   353.0   12   19   11.49  33.20
   354.0   12   20   11.48  33.20
   355.0   12   21   11.49  33.20
   356.0   12   22   11.40  33.20
   357.0   12   23   11.32  33.20
   358.0   12   24   11.24  33.20
   359.0   12   25   11.15  33.20
   360.0   12   26   11.14  33.20
   361.0   12   27   11.10  33.20
   362.0   12   28   11.06  33.20
   363.0   12   29   11.06  33.20
   364.0   12   30   10.99  33.20
   365.0   12   31   10.98  33.20
   366.0    1    1    8.99  33.20
   367.0    1    2    8.93  33.20
   368.0    1    3    8.99  33.20
   369.0    1    4    8.91  33.20
   370.0    1    5    8.89  33.20
   371.0    1    6    8.87  33.20
   372.0    1    7    8.83  33.20
   373.0    1    8    8.78  33.20
   374.0    1    9    8.72  33.20
   375.0    1   10    8.68  33.20
   376.0    1   11    8.59  33.20
   377.0    1   12    8.62  33.20
