1   !! number of vertical layers
0   ! vertical depth of climatology
  JDAY  MM  DD    TEMP    SALT    nontide JDAY=0 FOR JAN 01
  248    9    5  20.356    1.000    .328
  249    9    6  20.244    1.000    .326
  250    9    7  20.240    1.000    .326
  251    9    8  20.140    1.000    .325
  252    9    9  19.913    1.000    .324
  253    9   10  20.045    1.000    .321
  254    9   11  20.210    1.000    .318
  255    9   12  20.181    1.000    .317
  256    9   13  19.972    1.000    .315
  257    9   14  19.883    1.000    .315
  258    9   15  19.783    1.000    .315
  259    9   16  19.738    1.000    .317
  260    9   17  19.794    1.000    .318
  261    9   18  19.856    1.000    .317
  262    9   19  19.910    1.000    .317
  263    9   20  19.892    1.000    .317
  264    9   21  20.062    1.000    .316
  265    9   22  19.987    1.000    .314
  266    9   23  20.077    1.000    .311
  267    9   24  20.050    1.000    .307
  268    9   25  19.950    1.000    .304
  269    9   26  19.975    1.000    .302
  270    9   27  20.066    1.000    .300
  271    9   28  20.201    1.000    .296
  272    9   29  20.069    1.000    .291
  273    9   30  19.871    1.000    .287
  274   10    1  19.768    1.000    .286
  275   10    2  19.808    1.000    .285
  276   10    3  19.732    1.000    .282
  277   10    4  19.233    1.000    .282
  278   10    5  18.917    1.000    .282
  279   10    6  18.693    1.000    .281
  280   10    7  18.566    1.000    .278
  281   10    8  18.469    1.000    .275
  282   10    9  18.392    1.000    .272
  283   10   10  18.360    1.000    .272
  284   10   11  18.224    1.000    .270
  285   10   12  18.037    1.000    .267
  286   10   13  18.044    1.000    .265
  287   10   14  18.196    1.000    .262
  288   10   15  18.389    1.000    .259
  289   10   16  18.484    1.000    .254
  290   10   17  18.428    1.000    .251
  291   10   18  18.476    1.000    .247
  292   10   19  18.366    1.000    .241
  293   10   20  18.217    1.000    .236
  294   10   21  18.025    1.000    .231
  295   10   22  17.872    1.000    .229
  296   10   23  17.777    1.000    .229
  297   10   24  17.756    1.000    .230
  298   10   25  17.561    1.000    .230
  299   10   26  17.470    1.000    .228
  300   10   27  17.292    1.000    .226
  301   10   28  16.886    1.000    .224
  302   10   29  16.818    1.000    .223
  303   10   30  16.820    1.000    .221
  304   10   31  16.813    1.000    .218
  305   11    1  16.859    1.000    .214
  306   11    2  16.637    1.000    .212
  307   11    3  16.636    1.000    .212
  308   11    4  16.595    1.000    .211
  309   11    5  16.529    1.000    .210
  310   11    6  16.389    1.000    .211
  311   11    7  16.295    1.000    .213
  312   11    8  15.964    1.000    .213
  313   11    9  15.588    1.000    .212
  314   11   10  15.291    1.000    .212
  315   11   11  15.134    1.000    .212
  316   11   12  14.928    1.000    .212
  317   11   13  14.834    1.000    .212
  318   11   14  14.749    1.000    .212
  319   11   15  14.697    1.000    .210
  320   11   16  14.636    1.000    .209
  321   11   17  14.569    1.000    .208
  322   11   18  14.477    1.000    .211
  323   11   19  14.274    1.000    .211
  324   11   20  14.133    1.000    .213
  325   11   21  13.887    1.000    .214
  326   11   22  13.686    1.000    .214
  327   11   23  13.553    1.000    .213
  328   11   24  13.326    1.000    .214
  329   11   25  13.185    1.000    .215
  330   11   26  13.020    1.000    .217
  331   11   27  12.934    1.000    .220
  332   11   28  12.751    1.000    .225
  333   11   29  12.540    1.000    .229
  334   11   30  12.454    1.000    .232
  335   12    1  12.287    1.000    .234
  336   12    2  12.217    1.000    .235
  337   12    3  11.985    1.000    .236
  338   12    4  11.823    1.000    .238
  339   12    5  11.788    1.000    .241
  340   12    6  11.686    1.000    .244
  341   12    7  11.546    1.000    .251
  342   12    8  11.408    1.000    .258
  343   12    9  11.199    1.000    .263
  344   12   10  11.084    1.000    .267
  345   12   11  11.029    1.000    .273
  346   12   12  10.949    1.000    .280
  347   12   13  10.892    1.000    .283
  348   12   14  10.841    1.000    .285
  349   12   15  10.750    1.000    .290
  350   12   16  10.593    1.000    .293
  351   12   17  10.556    1.000    .296
  352   12   18  10.482    1.000    .296
  353   12   19  10.398    1.000    .299
  354   12   20  10.265    1.000    .302
  355   12   21  10.241    1.000    .303
  356   12   22  10.112    1.000    .304
  357   12   23   9.867    1.000    .306
  358   12   24   9.703    1.000    .307
  359   12   25   9.472    1.000    .307
  360   12   26   9.367    1.000    .306
  361   12   27   9.389    1.000    .306
  362   12   28   9.368    1.000    .303
  363   12   29   9.320    1.000    .301
  364   12   30   9.233    1.000    .297
  365   12   31   9.189    1.000    .295
  366    1    1   8.989    1.000    .293
  367    1    2   8.926    1.000    .290
  368    1    3   8.991    1.000    .284
  369    1    4   8.913    1.000    .278
  370    1    5   8.891    1.000    .268
  371    1    6   8.870    1.000    .268
  372    1    7   8.833    1.000    .263
  373    1    8   8.776    1.000    .258
  374    1    9   8.715    1.000    .255
  375    1   10   8.680    1.000    .250
