 No          X          Y     Node   Depth          Station Name
201  -121.68743    38.15861   54112  10.59  xSacramento River Downstream 1           x
202  -121.68447    38.15759   54113   9.09  xSacramento River Downstream 2           x
203  -121.68222    38.15673   54114   6.62  xSacramento River Downstream 3           x
204  -121.67989    38.15565   54115   7.50  xSacramento River Downstream 4           x
205  -121.80017    38.02560   53482   3.38  xSan Joaquin River Inflow 1              x
206  -121.80020    38.02395   53481   3.02  xSan Joaquin River Inflow 2              x
207  -121.80022    38.02231   53499   9.01  xSan Joaquin River Inflow 3              x
208  -121.80025    38.02066   53500   8.87  xSan Joaquin River Inflow 4              x
209  -121.80028    38.01901   53502  13.01  xSan Joaquin River Inflow 5              x
210  -121.80031    38.01736   53503   9.13  xSan Joaquin River Inflow 6              x
211  -121.80283    38.02553   53461   3.73  xSan Joaquin River Downstream 1          x
212  -121.80202    38.02331   53476   6.91  xSan Joaquin River Downstream 2          x
213  -121.80242    38.02147   53477   8.14  xSan Joaquin River Downstream 3          x
214  -121.80191    38.01977   53501  13.31  xSan Joaquin River Downstream 4          x
215  -121.80290    38.01835   53479  11.29  xSan Joaquin River Downstream 5          x
216  -121.80415    38.01679   53480   4.50  xSan Joaquin River Downstream 6          x
217  -122.32022    38.18609   46752   1.63  xNapa River Inflow 1                     x
218  -122.31821    38.18684   46753   1.89  xNapa River Inflow 2                     x
219  -122.31743    38.18844   46804   2.89  xNapa River Inflow 3                     x
220  -122.31727    38.19024   46805   1.81  xNapa River Inflow 4                     x
221  -122.31677    38.19199   46850   1.88  xNapa River Inflow 5                     x
222  -122.32067    38.18335   46705   1.99  xNapa River Downstream 1                 x
223  -122.31871    38.18480   46703   2.00  xNapa River Downstream 2                 x
224  -122.31667    38.18588   46704   2.16  xNapa River Downstream 3                 x
225  -122.31583    38.18759   46754   3.22  xNapa River Downstream 4                 x
226  -122.31540    38.18927   46757   3.60  xNapa River Downstream 5                 x
227  -122.31502    38.19107   46806   3.58  xNapa River Downstream 6                 x
228  -122.31232    38.19224   46807   5.21  xNapa River Downstream 7                 x
229  -122.56721    38.20907   45345   1.16  xPetaluma River Inflow 1                 x
230  -122.56573    38.21155   45502   1.16  xPetaluma River Upstream 1               x
231  -122.09322    37.56382   45670   1.17  xAlameda Creek Inflow 1                  x
232  -122.09091    37.56221   45741   1.17  xAlameda Creek Upstream 1                x
233  -121.95424    37.45759   52308   2.56  xCoyote Creek Inflow 1                   x
234  -121.95263    37.45642   52420   2.53  xCoyote Creek Downstream 1               x
235  -121.98382    37.42935   52543   1.53  xGuadalupe River Inflow 1                x
236  -121.98265    37.42942   52683   2.53  xGuadalupe River Downstream 1            x
237  -123.02221    37.99569       1  19.58  xOcean Boundary Point 1                  x
238  -123.01931    37.99495      92  16.96  xOcean Boundary Point 1 Inside           x
239  -123.02047    37.93491      19  63.16  xOcean Boundary Point 2                  x
240  -123.01510    37.93474     112  63.16  xOcean Boundary Point 2 Inside           x
241  -122.97758    37.82567      37  73.23  xOcean Boundary Point 3                  x
242  -122.96971    37.82887     130  73.40  xOcean Boundary Point 3 Inside           x
243  -122.82792    37.65769      55  63.33  xOcean Boundary Point 4                  x
244  -122.82030    37.66752     149  62.04  xOcean Boundary Point 4 Inside           x
245  -122.61769    37.59248      73  39.41  xOcean Boundary Point 5                  x
246  -122.61953    37.59777     169  39.05  xOcean Boundary Point 5 Inside           x
247  -122.52257    37.59691      91  14.45  xOcean Boundary Point 6                  x
248  -122.52219    37.59928     188  16.53  xOcean Boundary Point 6 Inside           x
249  -122.42170    37.82720   13345  18.31  Alcatraz Island USGS                     x
250  -122.34775    37.80097   16860  12.69  Oakland Inner Harbor LB4
