 1   !! number of vertical layers
 0   ! vertical depth of climatology
    JDAY  MM  DD   TEMP   SALT JDAY=0 FOR JAN 01
   340.0   12    6   11.69   0.00
   341.0   12    7   11.55   0.00
   342.0   12    8   11.41   0.00
   343.0   12    9   11.20   0.00
   344.0   12   10   11.08   0.00
   345.0   12   11   11.03   0.00
   346.0   12   12   10.95   0.00
   347.0   12   13   10.89   0.00
   348.0   12   14   10.84   0.00
   349.0   12   15   10.75   0.00
   350.0   12   16   10.59   0.00
   351.0   12   17   10.56   0.00
   352.0   12   18   10.48   0.00
   353.0   12   19   10.40   0.00
   354.0   12   20   10.27   0.00
   355.0   12   21   10.24   0.00
   356.0   12   22   10.11   0.00
   357.0   12   23    9.87   0.00
   358.0   12   24    9.70   0.00
   359.0   12   25    9.47   0.00
   360.0   12   26    9.37   0.00
   361.0   12   27    9.39   0.00
   362.0   12   28    9.37   0.00
   363.0   12   29    9.32   0.00
   364.0   12   30    9.23   0.00
   365.0   12   31    9.19   0.00
   366.0    1    1    8.99   0.00
   367.0    1    2    8.93   0.00
   368.0    1    3    8.99   0.00
   369.0    1    4    8.91   0.00
   370.0    1    5    8.89   0.00
   371.0    1    6    8.87   0.00
   372.0    1    7    8.83   0.00
   373.0    1    8    8.78   0.00
   374.0    1    9    8.72   0.00
   375.0    1   10    8.68   0.00
   376.0    1   11    8.59   0.00
   377.0    1   12    8.62   0.00
